Wavenumber,Intensity
1489.0715,3.461845
1490.9351,3.566570
1492.7988,3.642601
1494.6625,3.673795
1496.5261,3.728932
1498.3898,3.773156
1500.2535,3.813962
1502.1171,3.881274
1503.9808,3.929713
1505.8445,3.967355
1507.7082,4.049641
1509.5718,4.053515
1511.4355,4.024278
1513.2992,4.061606
1515.1628,4.101762
1517.0265,4.164637
1518.8902,4.263873
1520.7538,4.330993
1522.6175,4.345566
1524.4812,4.354196
1526.3448,4.356291
1528.2085,4.324922
1530.0722,4.347880
1531.9359,4.409081
1533.7995,4.480542
1535.6632,4.574843
1537.5269,4.626857
1539.3905,4.711414
1541.2542,4.791471
1543.1179,4.767836
1544.9815,4.740626
1546.8452,4.695184
1548.7089,4.673869
1550.5725,4.709903
1552.4362,4.736059
1554.2999,4.766106
1556.1635,4.880902
1558.0272,4.885657
1559.8909,4.810291
1561.7546,4.715316
1563.6182,4.605499
1565.4819,4.513640
1567.3456,4.450050
1569.2092,4.322091
1571.0729,4.191290
1572.9366,4.145977
1574.8002,4.080959
1576.6639,3.948540
1578.5276,3.838621
1580.3912,3.725305
1582.2549,3.633867
1584.1186,3.497695
1585.9822,3.356358
1587.8459,3.254043
1589.7096,3.218013
1591.5733,3.196291
1593.4369,3.124711
1595.3006,3.037634
1597.1643,2.991855
1599.0279,2.946236
1600.8916,2.879901
1602.7553,2.784240
1604.6189,2.794529
1606.4826,2.855953
1608.3463,2.840983
1610.2099,2.761089
1612.0736,2.706830
1613.9373,2.638060
1615.8010,2.576222
1617.6646,2.595403
1619.5283,2.631464
1621.3920,2.624003
1623.2556,2.611319
1625.1193,2.631935
1626.9830,2.656538
1628.8466,2.653248
1630.7103,2.679121
1632.5740,2.641644
1634.4376,2.574557
1636.3013,2.562659
1638.1650,2.667229
1640.0286,2.720893
1641.8923,2.725985
1643.7560,2.734881
1645.6197,2.766017
1647.4833,2.740654
1649.3470,2.755718
1651.2107,2.764541
1653.0743,2.717434
1654.9380,2.713207
1656.8017,2.751183
1658.6653,2.782095
1660.5290,2.750013
1662.3927,2.715022
1664.2563,2.763730
1666.1200,2.771914
1667.9837,2.745111
1669.8474,2.790650
1671.7110,2.828694
1673.5747,2.779245
1675.4384,2.723771
1677.3020,2.739609
1679.1657,2.753455
1681.0294,2.776728
1682.8930,2.791914
1684.7567,2.692399
1686.6204,2.706053
1688.4840,2.764231
1690.3477,2.823876
1692.2114,2.861460
1694.0750,2.922018
1695.9387,2.991409
1697.8024,3.044692
1699.6661,3.008593
1701.5297,3.041287
1703.3934,3.084206
1705.2571,3.096095
1707.1207,3.086924
1708.9844,3.086963
1710.8481,3.110082
1712.7117,3.203537
1714.5754,3.265321
1716.4391,3.187908
1718.3027,3.191619
1720.1664,3.245483
1722.0301,3.238484
1723.8937,3.264730
1725.7574,3.273899
1727.6211,3.282576
1729.4848,3.343880
1731.3484,3.397384
1733.2121,3.351584
1735.0758,3.393330
1736.9394,3.456159
1738.8031,3.434923
1740.6668,3.397575
1742.5304,3.414285
1744.3941,3.423775
1746.2578,3.438682
1748.1214,3.451920
1749.9851,3.445559
1751.8488,3.414736
1753.7125,3.434010
1755.5761,3.460490
